nb_step	phi=0.2	phi=0.7
0.0	0.0	0.0
1.0	0.0	0.0
2.0	0.0	0.0
3.0	0.0	0.0
4.0	0.0	0.0
5.0	0.0	0.0
6.0	0.0	0.0
7.0	0.0	0.0
8.0	0.0	0.0
9.0	0.0	0.0
10.0	0.0	0.0
11.0	0.0	0.0
12.0	0.0	0.0
13.0	0.0	0.0
14.0	0.0	0.01
15.0	0.0	0.01
16.0	0.0	0.01
17.0	0.0	0.01
18.0	0.0	0.01
19.0	0.0	0.01
20.0	0.0	0.01
21.0	0.0	0.01
22.0	0.0	0.01
23.0	0.0	0.01
24.0	0.0	0.01
25.0	0.01	0.01
26.0	0.01	0.01
27.0	0.01	0.01
28.0	0.01	0.01
29.0	0.01	0.01
30.0	0.02	0.01
31.0	0.03	0.01
32.0	0.03	0.02
33.0	0.03	0.02
34.0	0.03	0.02
35.0	0.03	0.02
36.0	0.03	0.02
37.0	0.03	0.02
38.0	0.03	0.02
39.0	0.03	0.02
40.0	0.03	0.03
41.0	0.03	0.03
42.0	0.03	0.03
43.0	0.03	0.03
44.0	0.03	0.03
45.0	0.03	0.03
46.0	0.03	0.03
47.0	0.03	0.03
48.0	0.03	0.03
49.0	0.03	0.04
50.0	0.03	0.04
51.0	0.03	0.04
52.0	0.03	0.04
53.0	0.03	0.04
54.0	0.03	0.04
55.0	0.03	0.04
56.0	0.03	0.04
57.0	0.03	0.04
58.0	0.03	0.04
59.0	0.03	0.04
60.0	0.03	0.04
61.0	0.03	0.04
62.0	0.03	0.04
63.0	0.03	0.04
64.0	0.03	0.04
65.0	0.03	0.04
66.0	0.03	0.04
67.0	0.03	0.04
68.0	0.03	0.04
69.0	0.04	0.04
70.0	0.04	0.04
71.0	0.04	0.04
72.0	0.04	0.04
73.0	0.04	0.04
74.0	0.04	0.04
75.0	0.04	0.04
76.0	0.04	0.04
77.0	0.04	0.04
78.0	0.04	0.04
79.0	0.05	0.04
80.0	0.05	0.04
81.0	0.05	0.04
82.0	0.05	0.05
83.0	0.05	0.05
84.0	0.05	0.05
85.0	0.05	0.05
86.0	0.05	0.05
87.0	0.05	0.05
88.0	0.05	0.05
89.0	0.05	0.05
90.0	0.05	0.05
91.0	0.05	0.05
92.0	0.05	0.05
93.0	0.05	0.06
94.0	0.05	0.06
95.0	0.05	0.06
96.0	0.05	0.07
97.0	0.05	0.07
98.0	0.05	0.07
99.0	0.05	0.07
100.0	0.05	0.07
101.0	0.05	0.07
102.0	0.05	0.07
103.0	0.05	0.07
104.0	0.05	0.07
105.0	0.05	0.07
106.0	0.05	0.07
107.0	0.05	0.06
108.0	0.05	0.06
109.0	0.05	0.06
110.0	0.05	0.06
111.0	0.05	0.06
112.0	0.05	0.06
113.0	0.05	0.06
114.0	0.05	0.06
115.0	0.05	0.06
116.0	0.05	0.06
117.0	0.05	0.06
118.0	0.05	0.06
119.0	0.05	0.06
120.0	0.05	0.06
121.0	0.05	0.06
122.0	0.05	0.06
123.0	0.05	0.06
124.0	0.05	0.06
125.0	0.05	0.06
126.0	0.05	0.06
127.0	0.05	0.06
128.0	0.05	0.06
129.0	0.05	0.06
130.0	0.05	0.06
131.0	0.05	0.06
132.0	0.05	0.06
133.0	0.05	0.06
134.0	0.05	0.06
135.0	0.05	0.06
136.0	0.05	0.06
137.0	0.04	0.06
138.0	0.05	0.06
139.0	0.05	0.06
140.0	0.05	0.06
141.0	0.05	0.06
142.0	0.05	0.06
143.0	0.05	0.06
144.0	0.05	0.06
145.0	0.05	0.06
146.0	0.05	0.06
147.0	0.05	0.06
148.0	0.05	0.07
149.0	0.05	0.07
150.0	0.05	0.07
151.0	0.05	0.07
152.0	0.05	0.07
153.0	0.05	0.07
154.0	0.05	0.07
155.0	0.05	0.07
156.0	0.05	0.07
157.0	0.05	0.07
158.0	0.05	0.07
159.0	0.05	0.07
160.0	0.05	0.07
161.0	0.05	0.07
162.0	0.05	0.07
163.0	0.05	0.07
164.0	0.05	0.07
165.0	0.05	0.07
166.0	0.05	0.07
167.0	0.05	0.07
168.0	0.05	0.07
169.0	0.05	0.07
170.0	0.05	0.07
171.0	0.05	0.07
172.0	0.05	0.07
173.0	0.05	0.07
174.0	0.05	0.08
175.0	0.05	0.09
176.0	0.05	0.09
177.0	0.05	0.09
178.0	0.05	0.09
179.0	0.05	0.09
180.0	0.05	0.09
181.0	0.05	0.09
182.0	0.05	0.09
183.0	0.05	0.09
184.0	0.05	0.09
185.0	0.05	0.09
186.0	0.05	0.1
187.0	0.05	0.1
188.0	0.05	0.11
189.0	0.05	0.11
190.0	0.05	0.11
191.0	0.05	0.11
192.0	0.05	0.11
193.0	0.05	0.11
194.0	0.05	0.11
195.0	0.05	0.11
196.0	0.05	0.11
197.0	0.05	0.11
198.0	0.05	0.11
199.0	0.05	0.11
200.0	0.05	0.11
201.0	0.05	0.12
202.0	0.06	0.12
203.0	0.06	0.13
204.0	0.06	0.13
205.0	0.07	0.13
206.0	0.07	0.13
207.0	0.07	0.13
208.0	0.07	0.13
209.0	0.07	0.13
210.0	0.07	0.13
211.0	0.07	0.13
212.0	0.07	0.13
213.0	0.07	0.12
214.0	0.07	0.12
215.0	0.07	0.12
216.0	0.07	0.12
217.0	0.07	0.13
218.0	0.07	0.13
219.0	0.07	0.13
220.0	0.07	0.13
221.0	0.07	0.13
222.0	0.07	0.13
223.0	0.07	0.13
224.0	0.07	0.13
225.0	0.07	0.13
226.0	0.07	0.14
227.0	0.07	0.14
228.0	0.06	0.14
229.0	0.06	0.14
230.0	0.06	0.14
231.0	0.06	0.14
232.0	0.06	0.14
233.0	0.06	0.14
234.0	0.06	0.14
235.0	0.06	0.14
236.0	0.06	0.14
237.0	0.06	0.14
238.0	0.06	0.14
239.0	0.06	0.14
240.0	0.06	0.14
241.0	0.06	0.14
242.0	0.06	0.14
243.0	0.07	0.14
244.0	0.07	0.14
245.0	0.07	0.15
246.0	0.07	0.15
247.0	0.07	0.15
248.0	0.07	0.15
249.0	0.07	0.15
250.0	0.07	0.15
251.0	0.07	0.15
252.0	0.07	0.15
253.0	0.07	0.15
254.0	0.07	0.15
255.0	0.07	0.15
256.0	0.07	0.15
257.0	0.07	0.15
258.0	0.07	0.15
259.0	0.07	0.15
260.0	0.07	0.15
261.0	0.07	0.15
262.0	0.07	0.15
263.0	0.07	0.15
264.0	0.07	0.15
265.0	0.07	0.15
266.0	0.07	0.15
267.0	0.07	0.15
268.0	0.08	0.15
269.0	0.08	0.15
270.0	0.08	0.15
271.0	0.08	0.15
272.0	0.08	0.15
273.0	0.08	0.15
274.0	0.09	0.15
275.0	0.09	0.15
276.0	0.09	0.15
277.0	0.09	0.15
278.0	0.09	0.15
279.0	0.1	0.15
280.0	0.1	0.15
281.0	0.1	0.15
282.0	0.1	0.15
283.0	0.1	0.15
284.0	0.1	0.15
285.0	0.1	0.15
286.0	0.1	0.15
287.0	0.1	0.15
288.0	0.1	0.15
289.0	0.1	0.15
290.0	0.1	0.15
291.0	0.1	0.15
292.0	0.1	0.15
293.0	0.1	0.15
294.0	0.1	0.15
295.0	0.1	0.15
296.0	0.11	0.15
297.0	0.11	0.15
298.0	0.11	0.15
299.0	0.11	0.15
300.0	0.11	0.15
301.0	0.11	0.15
302.0	0.12	0.15
303.0	0.13	0.15
304.0	0.13	0.15
305.0	0.13	0.15
306.0	0.13	0.15
307.0	0.13	0.15
308.0	0.13	0.15
309.0	0.13	0.15
310.0	0.13	0.15
311.0	0.13	0.15
312.0	0.13	0.15
313.0	0.13	0.15
314.0	0.13	0.15
315.0	0.13	0.15
316.0	0.13	0.15
317.0	0.13	0.15
318.0	0.13	0.15
319.0	0.13	0.15
320.0	0.13	0.15
321.0	0.13	0.15
322.0	0.13	0.15
323.0	0.13	0.16
324.0	0.13	0.17
325.0	0.13	0.17
326.0	0.13	0.17
327.0	0.13	0.17
328.0	0.13	0.17
329.0	0.13	0.17
330.0	0.13	0.17
331.0	0.13	0.17
332.0	0.13	0.17
333.0	0.13	0.17
334.0	0.13	0.17
335.0	0.13	0.17
336.0	0.13	0.17
337.0	0.13	0.17
338.0	0.13	0.17
339.0	0.13	0.17
340.0	0.13	0.17
341.0	0.13	0.17
342.0	0.13	0.17
343.0	0.14	0.17
344.0	0.14	0.17
345.0	0.14	0.18
346.0	0.14	0.18
347.0	0.14	0.18
348.0	0.14	0.18
349.0	0.15	0.18
350.0	0.15	0.18
351.0	0.15	0.18
352.0	0.15	0.18
353.0	0.15	0.18
354.0	0.15	0.18
355.0	0.15	0.18
356.0	0.15	0.18
357.0	0.15	0.18
358.0	0.15	0.19
359.0	0.15	0.19
360.0	0.15	0.19
361.0	0.15	0.19
362.0	0.15	0.19
363.0	0.15	0.19
364.0	0.14	0.19
365.0	0.14	0.19
366.0	0.14	0.19
367.0	0.14	0.19
368.0	0.14	0.19
369.0	0.14	0.19
370.0	0.14	0.19
371.0	0.14	0.19
372.0	0.14	0.19
373.0	0.14	0.2
374.0	0.14	0.21
375.0	0.14	0.21
376.0	0.14	0.21
377.0	0.14	0.21
378.0	0.14	0.21
379.0	0.14	0.21
380.0	0.14	0.21
